branch,i,j,k,r_ijk_analytic_pmV,r_ijk_findiff_pmV,rel_diff,method,rotation_applied
LDA@PBEsol-geometry,z,x,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,z,y,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,z,z,z,36.59072,36.59072,1e-10,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,x,x,x,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,x,y,x,-22.467532,-22.467532,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,x,z,x,35.305414,35.305414,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,y,x,x,-22.467532,-22.467532,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,y,y,x,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,y,z,x,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,z,x,x,35.305414,35.305414,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,z,y,x,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,z,z,x,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,x,x,y,-22.467532,-22.467532,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,x,y,y,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,x,z,y,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,y,x,y,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,y,y,y,22.467532,22.467532,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,y,z,y,35.305414,35.305414,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,z,x,y,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,z,y,y,35.305414,35.305414,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,z,z,y,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,x,x,z,35.015683,35.015683,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,x,y,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,x,z,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,y,x,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,y,y,z,35.015683,35.015683,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,y,z,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,z,x,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,z,y,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@LDA-relaxed,z,z,z,33.055875,33.055875,1e-10,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,x,x,x,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,x,y,x,-34.608153,-34.608153,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,x,z,x,42.382905,42.382905,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,y,x,x,-34.608153,-34.608153,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,y,y,x,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,y,z,x,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,z,x,x,42.382905,42.382905,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,z,y,x,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,z,z,x,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,x,x,y,-34.608153,-34.608153,1e-10,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,x,y,y,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,x,z,y,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,y,x,y,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,y,y,y,34.608153,34.608153,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,y,z,y,42.382905,42.382905,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,z,x,y,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@B0-geometry,z,y,y,42.382905,42.382905,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
